date,instrument,weight
2022-04-01,rb1s,0.0
2022-04-04,cl1s,0.0
2022-04-04,ho1s,0.0
2022-04-04,ng1s,0.0
2022-04-04,rb1s,0.0
2022-04-05,cl1s,0.0
2022-04-05,ho1s,0.0
2022-04-05,ng1s,0.0
2022-04-05,rb1s,0.0
2022-04-06,cl1s,0.0
2022-04-06,ho1s,0.0
2022-04-06,ng1s,0.0
2022-04-06,rb1s,0.0
2022-04-07,cl1s,0.0
2022-04-07,ho1s,0.0
2022-04-07,ng1s,0.0
2022-04-07,rb1s,0.0
2022-04-08,cl1s,0.0
2022-04-08,ho1s,0.0
2022-04-08,ng1s,0.0
2022-04-08,rb1s,0.0
2022-04-11,cl1s,0.0
2022-04-11,ho1s,0.0
2022-04-11,ng1s,0.0
2022-04-11,rb1s,0.0
2022-04-12,cl1s,0.0
2022-04-12,ho1s,0.0
2022-04-12,ng1s,0.0
2022-04-12,rb1s,0.0
2022-04-13,cl1s,-0.0
2022-04-13,ho1s,0.0
2022-04-13,ng1s,0.0
2022-04-13,rb1s,0.0
2022-04-14,cl1s,-0.0
2022-04-14,ho1s,0.0
2022-04-14,ng1s,0.0
2022-04-14,rb1s,-0.0
2022-04-18,cl1s,0.0
2022-04-18,ho1s,0.0
2022-04-18,ng1s,0.0
2022-04-18,rb1s,-0.0
2022-04-19,cl1s,0.0
2022-04-19,ho1s,0.0
2022-04-19,ng1s,0.0
2022-04-19,rb1s,-0.0
2022-04-20,cl1s,0.0
2022-04-20,ho1s,0.0
2022-04-20,ng1s,0.0
2022-04-20,rb1s,-0.0
2022-04-21,cl1s,0.0
2022-04-21,ho1s,0.0
2022-04-21,ng1s,0.0
2022-04-21,rb1s,-0.0
2022-04-22,cl1s,0.0
2022-04-22,ho1s,0.0
2022-04-22,ng1s,0.0
2022-04-22,rb1s,-0.0
2022-04-25,cl1s,0.0
2022-04-25,ho1s,0.0
2022-04-25,ng1s,0.0
2022-04-25,rb1s,0.0
2022-04-26,cl1s,0.0
2022-04-26,ho1s,0.0
2022-04-26,ng1s,0.0
2022-04-26,rb1s,-0.0
2022-04-27,cl1s,0.0
2022-04-27,ho1s,0.0
2022-04-27,ng1s,0.0
2022-04-27,rb1s,-0.0
2022-04-28,cl1s,0.0
2022-04-28,ho1s,0.0
2022-04-28,ng1s,0.0
2022-04-28,rb1s,-0.0
2022-04-29,cl1s,0.0
2022-04-29,ho1s,0.0
2022-04-29,ng1s,0.0
2022-04-29,rb1s,-0.0
2022-05-02,cl1s,0.0
2022-05-02,ho1s,0.0
2022-05-02,ng1s,0.0
2022-05-02,rb1s,-0.0
2022-05-03,cl1s,0.0
2022-05-03,ho1s,0.0
2022-05-03,ng1s,0.0
2022-05-03,rb1s,-0.0
2022-05-04,cl1s,0.0
2022-05-04,ho1s,0.0
2022-05-04,ng1s,-0.13399226916662207
2022-05-04,rb1s,-0.0
2022-05-05,cl1s,0.0
2022-05-05,ho1s,0.0
2022-05-05,ng1s,-0.0
2022-05-05,rb1s,-0.0
2022-05-06,cl1s,0.0
2022-05-06,ho1s,0.0
2022-05-06,ng1s,-0.0
2022-05-06,rb1s,-0.0
2022-05-09,cl1s,0.0
2022-05-09,ho1s,0.0
2022-05-09,ng1s,0.0
2022-05-09,rb1s,-0.0
2022-05-10,cl1s,0.0
2022-05-10,ho1s,0.0
2022-05-10,ng1s,0.0
2022-05-10,rb1s,0.0
2022-05-11,cl1s,0.0
2022-05-11,ho1s,0.0
2022-05-11,ng1s,0.0
2022-05-11,rb1s,0.0
2022-05-12,cl1s,0.0
2022-05-12,ho1s,0.0
2022-05-12,ng1s,0.0
2022-05-12,rb1s,-0.0
2022-05-13,cl1s,0.0
2022-05-13,ho1s,0.0
2022-05-13,ng1s,0.0
2022-05-13,rb1s,-0.0
2022-05-16,cl1s,0.0
2022-05-16,ho1s,0.0
2022-05-16,ng1s,0.0
2022-05-16,rb1s,-0.0
2022-05-17,cl1s,0.0
2022-05-17,ho1s,0.0
2022-05-17,ng1s,-0.0
2022-05-17,rb1s,-0.0
2022-05-18,cl1s,0.0
2022-05-18,ho1s,0.0
2022-05-18,ng1s,-0.0
2022-05-18,rb1s,-0.0
2022-05-19,cl1s,0.0
2022-05-19,ho1s,0.0
2022-05-19,ng1s,-0.0
2022-05-19,rb1s,-0.0
2022-05-20,cl1s,0.0
2022-05-20,ho1s,0.0
2022-05-20,ng1s,0.0
2022-05-20,rb1s,-0.0
2022-05-23,cl1s,0.0
2022-05-23,ho1s,0.0
2022-05-23,ng1s,0.0
2022-05-23,rb1s,-0.0
2022-05-24,cl1s,0.0
2022-05-24,ho1s,0.0
2022-05-24,ng1s,0.0
2022-05-24,rb1s,-0.0
2022-05-25,cl1s,0.0
2022-05-25,ho1s,0.0
2022-05-25,ng1s,-0.07183169152147686
2022-05-25,rb1s,0.0
2022-05-26,cl1s,0.0
2022-05-26,ho1s,0.0
2022-05-26,ng1s,0.0
2022-05-26,rb1s,0.0
2022-05-27,cl1s,0.0
2022-05-27,ho1s,0.0
2022-05-27,ng1s,0.0
2022-05-27,rb1s,-0.0
2022-05-31,cl1s,0.0
2022-05-31,ho1s,-0.18012094322200947
2022-05-31,ng1s,0.0
2022-05-31,rb1s,-0.0
2022-06-01,cl1s,0.0
2022-06-01,ho1s,0.0
2022-06-01,ng1s,-0.08636070397356914
2022-06-01,rb1s,-0.0
2022-06-02,cl1s,0.0
2022-06-02,ho1s,-0.0
2022-06-02,ng1s,-0.13377662187621397
2022-06-02,rb1s,-0.0
2022-06-03,cl1s,0.0
2022-06-03,ho1s,0.0
2022-06-03,ng1s,-0.09745406481938639
2022-06-03,rb1s,-0.0
2022-06-06,cl1s,0.0
2022-06-06,ho1s,0.0
2022-06-06,ng1s,-0.0
2022-06-06,rb1s,-0.0
2022-06-07,cl1s,0.0
2022-06-07,ho1s,0.0
2022-06-07,ng1s,-0.0
2022-06-07,rb1s,-0.0
2022-06-08,cl1s,0.0
2022-06-08,ho1s,0.0
2022-06-08,ng1s,-0.0
2022-06-08,rb1s,-0.0
2022-06-09,cl1s,0.0
2022-06-09,ho1s,0.0
2022-06-09,ng1s,0.0
2022-06-09,rb1s,-0.0
2022-06-10,cl1s,0.0
2022-06-10,ho1s,0.0
2022-06-10,ng1s,0.0
2022-06-10,rb1s,-0.0
2022-06-13,cl1s,0.0
2022-06-13,ho1s,0.0
2022-06-13,ng1s,0.0
2022-06-13,rb1s,0.0
2022-06-14,cl1s,0.0
2022-06-14,ho1s,0.0
2022-06-14,ng1s,0.0
2022-06-14,rb1s,0.0
2022-06-15,cl1s,0.0
2022-06-15,ho1s,0.0
2022-06-15,ng1s,0.0
2022-06-15,rb1s,0.0
2022-06-16,cl1s,0.0
2022-06-16,ho1s,0.0
2022-06-16,ng1s,0.0
2022-06-16,rb1s,0.0
2022-06-17,cl1s,0.0
2022-06-17,ho1s,0.0
2022-06-17,ng1s,-0.0
2022-06-17,rb1s,0.0
2022-06-21,cl1s,0.0
2022-06-21,ho1s,0.0
2022-06-21,ng1s,-0.09838286268682804
2022-06-21,rb1s,0.0
2022-06-22,cl1s,0.0
2022-06-22,ho1s,0.0
2022-06-22,ng1s,-0.0
2022-06-22,rb1s,0.0
2022-06-23,cl1s,0.0
2022-06-23,ho1s,0.0
2022-06-23,ng1s,0.0
2022-06-23,rb1s,0.0
2022-06-24,cl1s,0.0
2022-06-24,ho1s,0.0
2022-06-24,ng1s,0.0
2022-06-24,rb1s,0.0
2022-06-27,cl1s,0.0
2022-06-27,ho1s,0.0
2022-06-27,ng1s,0.0
2022-06-27,rb1s,0.0
2022-06-28,cl1s,0.0
2022-06-28,ho1s,0.0
2022-06-28,ng1s,0.0
2022-06-28,rb1s,-0.0
2022-06-29,cl1s,0.0
2022-06-29,ho1s,0.0
2022-06-29,ng1s,-0.0
2022-06-29,rb1s,-0.0
2022-06-30,cl1s,0.0
2022-06-30,ho1s,0.0
2022-06-30,ng1s,0.0
2022-06-30,rb1s,0.0
